class_number,grade,Coding,Math,Teamwork,activity,등급
s1471,2.9545454545454537,2.9375,3.25,2.5,2.9545454545454537,Silver
s1472,4.045454545454546,4.25,3.5,3.5,4.045454545454546,Gold
s1473,3.25,3.0,0.0,3.5,3.25,Bronze
s1474,4.166666666666667,4.5,0.0,3.5,4.166666666666667,Bronze
s1475,3.3461538461538463,3.388888888888888,2.5,3.5,3.3461538461538463,Bronze
s1476,3.3333333333333335,3.75,0.0,2.5,3.3333333333333335,Bronze
s1477,4.166666666666667,4.25,0.0,4.0,4.166666666666667,Bronze
s1478,3.0,3.25,0.0,2.5,3.0,Bronze
s1479,2.75,2.75,2.0,3.5,2.75,Bronze
s148,3.478260869565218,3.4411764705882337,3.25,4.25,3.478260869565218,Silver
s1480,4.0,4.0,0.0,0.0,4.0,Bronze
s1481,3.3461538461538463,3.4500000000000006,2.75,3.5,3.3461538461538463,Silver
s1482,2.611111111111111,2.625,0.0,2.5,2.611111111111111,Bronze
s1483,3.5,3.5,0.0,0.0,3.5,Bronze
s1484,1.5,1.25,0.0,2.5,1.5,Bronze
s1485,2.4499999999999997,2.4375,2.5,2.5,2.4499999999999997,Bronze
s1486,3.8333333333333335,3.5,0.0,4.5,3.8333333333333335,Bronze
s1487,3.375,3.666666666666667,2.0,3.0,3.375,Bronze
s1488,3.3333333333333335,3.25,0.0,3.5,3.3333333333333335,Bronze
s1489,2.8333333333333335,3.75,0.0,1.0,2.8333333333333335,Bronze
s149,2.6730769230769216,2.666666666666666,2.5,3.5,2.6730769230769216,Bronze
s1490,4.357142857142857,4.5,3.5,4.5,4.357142857142857,Platinum
s1491,4.033333333333332,4.083333333333334,4.0,3.5,4.033333333333332,Gold
s1492,2.857142857142857,3.0,2.75,2.5,2.857142857142857,Silver
s1493,3.6666666666666665,4.25,0.0,3.5,3.6666666666666665,Bronze
s1494,2.375,2.357142857142857,0.0,2.5,2.375,Bronze
s1495,4.1875,4.142857142857143,0.0,4.5,4.1875,Bronze
s1496,3.3181818181818197,3.350000000000001,0.0,3.0,3.3181818181818197,Bronze
s1497,4.107142857142856,4.153846153846154,0.0,3.5,4.107142857142856,Bronze
s1498,2.0,2.0,0.0,0.0,2.0,Bronze
s1499,3.25,3.5,0.0,2.5,3.25,Bronze
s15,1.8333333333333333,1.8333333333333333,0.0,0.0,1.8333333333333333,Bronze
s150,2.3913043478260865,2.527777777777778,1.75,3.5,2.3913043478260865,Bronze
s1500,3.0625,2.857142857142857,0.0,4.5,3.0625,Bronze
s1501,2.291666666666667,2.1999999999999997,0.0,2.0,2.291666666666667,Bronze
s1502,3.615384615384615,3.5,0.0,4.0,3.615384615384615,Bronze
s1503,2.807692307692307,2.909090909090909,0.0,2.0,2.807692307692307,Bronze
s1504,3.5714285714285707,3.625,0.0,3.0,3.5714285714285707,Bronze
s1505,2.875,2.714285714285715,0.0,4.0,2.875,Bronze
s1506,3.8461538461538463,3.9090909090909087,0.0,3.0,3.8461538461538463,Bronze
s1507,3.5454545454545463,3.600000000000001,0.0,3.0,3.5454545454545463,Bronze
s1508,3.0625,2.928571428571428,0.0,4.0,3.0625,Bronze
s1509,4.0625,4.0,0.0,4.5,4.0625,Bronze
s151,3.625,3.5,0.0,4.0,3.625,Bronze
s1510,1.0,1.0,0.0,0.0,1.0,Bronze
s1511,3.6875,3.714285714285715,0.0,3.5,3.6875,Bronze
s1512,2.0,2.0,0.0,0.0,2.0,Bronze
s1513,3.5,3.5,0.0,3.5,3.5,Bronze
s1514,3.192307692307693,3.4500000000000006,0.0,3.0,3.192307692307693,Bronze
s1515,1.0,1.0,0.0,0.0,1.0,Bronze
s1516,0.0,0.0,0.0,0.0,0.0,Bronze
s1517,3.181818181818181,3.166666666666667,0.0,3.0,3.181818181818181,Bronze
s1518,3.25,3.25,0.0,0.0,3.25,Bronze
s1519,3.5,3.4545454545454537,0.0,4.0,3.5,Bronze
s152,3.4000000000000004,3.5681818181818175,3.0,3.5,3.4000000000000004,Gold
s1520,3.923076923076922,3.9545454545454537,0.0,3.0,3.923076923076922,Bronze
s1521,2.611111111111111,3.1999999999999997,3.0,2.0,2.611111111111111,Silver
s1522,3.222222222222222,3.5,3.0,4.0,3.222222222222222,Silver
